od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,
14754,97,24,91,23,11,9,p,AM,132.07,1,8.2699,13.3063,8.2699,0.000000,0.000000,0.000000,0.000000,0.000000,
14755,97,25,91,24,11,9,p,AM,122.48,1,8.8511,14.2413,8.8510,0.000000,0.000000,0.000000,0.000000,0.000000,
14756,97,26,91,25,11,9,p,AM,555.96,1,5.7623,9.2715,5.7623,0.000000,0.000000,0.000000,0.000000,0.000000,
14757,97,27,91,26,11,4,p,AM,124.13,1,8.3966,13.5101,8.3966,0.000000,0.000000,0.000000,0.000000,0.000000,
14758,97,28,91,27,11,4,p,AM,105.30,1,13.6803,22.0117,13.6803,0.000000,0.000000,0.000000,0.000000,0.000000,
14759,97,29,91,28,11,4,p,AM,245.20,1,10.7492,17.2954,10.7491,0.000000,0.000000,0.000000,0.000000,0.000000,
14760,97,30,91,29,11,11,p,AM,317.73,1,3.3825,5.4424,3.3825,0.000000,0.000000,0.000000,0.000000,0.000000,
14761,97,31,91,30,11,4,p,AM,163.61,1,6.4160,10.3233,6.4160,0.000000,0.000000,0.000000,0.000000,0.000000,
14762,97,32,91,31,11,11,p,AM,344.03,1,4.0441,6.5070,4.0441,0.000000,0.000000,0.000000,0.000000,0.000000,
14763,97,33,91,32,11,11,p,AM,80.31,1,7.5632,12.1691,7.5632,0.000000,0.000000,0.000000,0.000000,0.000000,
14764,97,34,91,33,11,4,p,AM,135.72,1,7.0947,11.4155,7.0947,0.000000,0.000000,0.000000,0.000000,0.000000,
14765,97,35,91,34,11,4,p,AM,57.69,1,10.7492,17.2954,10.7491,0.000000,0.000000,0.000000,0.000000,0.000000,
14766,97,36,91,35,11,4,p,AM,81.03,1,10.9819,17.6698,10.9819,0.000000,0.000000,0.000000,0.000000,0.000000,
14767,97,37,91,36,11,7,p,AM,3.47,1,28.5718,45.9720,28.5718,0.000000,0.000000,0.000000,0.000000,0.000000,
14768,97,39,91,37,11,5,p,AM,0.10,1,42.5844,68.5184,42.5844,0.000000,0.000000,0.000000,0.000000,0.000000,
14769,97,41,91,38,11,5,p,AM,5.24,1,39.6564,63.8072,39.6564,0.000000,0.000000,0.000000,0.000000,0.000000,
14770,97,42,91,39,11,5,p,AM,1.04,1,40.3713,64.9574,40.3713,0.000000,0.000000,0.000000,0.000000,0.000000,
14771,97,43,91,40,11,18,p,AM,3.17,1,36.5245,58.7679,36.5245,0.000000,0.000000,0.000000,0.000000,0.000000,
14772,97,44,91,41,11,5,p,AM,0.16,1,39.6361,63.7745,39.6361,0.000000,0.000000,0.000000,0.000000,0.000000,
14773,97,45,91,42,11,18,p,AM,0.27,1,33.6575,54.1549,33.6575,0.000000,0.000000,0.000000,0.000000,0.000000,
14774,97,46,91,43,11,5,p,AM,0.22,1,36.5855,58.8661,36.5855,0.000000,0.000000,0.000000,0.000000,0.000000,
14775,97,47,91,44,11,18,p,AM,0.15,1,34.5542,55.5978,34.5542,0.000000,0.000000,0.000000,0.000000,0.000000,
14776,97,48,91,45,11,18,p,AM,0.25,1,34.5320,55.5619,34.5320,0.000000,0.000000,0.000000,0.000000,0.000000,
14777,97,49,91,46,11,6,p,AM,0.16,1,31.6256,50.8856,31.6256,0.000000,0.000000,0.000000,0.000000,0.000000,
14778,97,50,91,47,11,18,p,AM,0.42,1,31.6040,50.8508,31.6040,0.000000,0.000000,0.000000,0.000000,0.000000,
14779,97,51,91,48,11,6,p,AM,0.03,1,32.7914,52.7613,32.7914,0.000000,0.000000,0.000000,0.000000,0.000000,
14780,97,52,91,49,11,6,p,AM,0.19,1,28.0709,45.1660,28.0709,0.000000,0.000000,0.000000,0.000000,0.000000,
14781,97,53,91,50,11,6,p,AM,0.24,1,29.8928,48.0975,29.8928,0.000000,0.000000,0.000000,0.000000,0.000000,
14782,97,56,91,51,11,5,p,AM,1.04,1,45.1245,72.6053,45.1245,0.000000,0.000000,0.000000,0.000000,0.000000,
14783,97,58,91,52,11,5,p,AM,0.35,1,36.7642,59.1537,36.7642,0.000000,0.000000,0.000000,0.000000,0.000000,
14784,97,59,91,53,11,5,p,AM,0.07,1,39.6338,63.7708,39.6338,0.000000,0.000000,0.000000,0.000000,0.000000,
14785,97,60,91,54,11,5,p,AM,0.31,1,39.2652,63.1778,39.2652,0.000000,0.000000,0.000000,0.000000,0.000000,
14786,97,61,91,55,11,5,p,AM,0.13,1,42.1348,67.7950,42.1348,0.000000,0.000000,0.000000,0.000000,0.000000,
14787,97,62,91,56,11,5,p,AM,0.28,1,33.8236,54.4222,33.8236,0.000000,0.000000,0.000000,0.000000,0.000000,
14788,97,63,91,57,11,5,p,AM,1.35,1,36.4290,58.6142,36.4290,0.000000,0.000000,0.000000,0.000000,0.000000,
14789,97,64,91,58,11,5,p,AM,7.85,1,31.4834,50.6568,31.4834,0.000000,0.000000,0.000000,0.000000,0.000000,
14790,97,65,91,59,11,5,p,AM,0.50,1,34.2291,55.0746,34.2291,0.000000,0.000000,0.000000,0.000000,0.000000,
14791,97,66,91,60,11,7,p,AM,2.47,1,28.9027,46.5044,28.9027,0.000000,0.000000,0.000000,0.000000,0.000000,
14792,97,67,91,61,11,7,p,AM,1.50,1,30.9295,49.7656,30.9295,0.000000,0.000000,0.000000,0.000000,0.000000,
14793,97,68,91,62,11,7,p,AM,1.14,1,26.5847,42.7748,26.5847,0.000000,0.000000,0.000000,0.000000,0.000000,
14794,97,69,91,63,11,7,p,AM,4.90,1,28.5497,45.9365,28.5497,0.000000,0.000000,0.000000,0.000000,0.000000,
14795,97,70,91,64,11,6,p,AM,0.36,1,27.1614,43.7026,27.1614,0.000000,0.000000,0.000000,0.000000,0.000000,
14796,97,71,91,65,11,6,p,AM,2.43,1,28.9520,46.5838,28.9520,0.000000,0.000000,0.000000,0.000000,0.000000,
14797,97,72,91,66,11,6,p,AM,2.24,1,25.2664,40.6537,25.2664,0.000000,0.000000,0.000000,0.000000,0.000000,
14798,97,73,91,67,11,6,p,AM,6.71,1,26.9381,43.3434,26.9381,0.000000,0.000000,0.000000,0.000000,0.000000,
14799,97,74,91,68,11,6,p,AM,2.42,1,26.2126,42.1761,26.2126,0.000000,0.000000,0.000000,0.000000,0.000000,
14800,97,75,91,69,11,6,p,AM,0.26,1,24.8096,39.9187,24.8096,0.000000,0.000000,0.000000,0.000000,0.000000,
14801,97,76,91,70,11,7,p,AM,9.93,1,25.4007,40.8697,25.4007,0.000000,0.000000,0.000000,0.000000,0.000000,
14802,97,77,91,71,11,7,p,AM,12.34,1,23.7258,38.1748,23.7258,0.000000,0.000000,0.000000,0.000000,0.000000,
14803,97,78,91,72,11,8,p,AM,9.38,1,20.7819,33.4381,20.7819,0.000000,0.000000,0.000000,0.000000,0.000000,
14804,97,79,91,73,11,8,p,AM,1.99,1,23.3700,37.6024,23.3700,0.000000,0.000000,0.000000,0.000000,0.000000,
14805,97,80,91,74,11,8,p,AM,16.41,1,18.6637,30.0299,18.6637,0.000000,0.000000,0.000000,0.000000,0.000000,
14806,97,81,91,75,11,7,p,AM,22.23,1,21.6331,34.8077,21.6331,0.000000,0.000000,0.000000,0.000000,0.000000,
14807,97,82,91,76,11,9,p,AM,25.10,1,15.8094,25.4373,15.8094,0.000000,0.000000,0.000000,0.000000,0.000000,
14808,97,83,91,77,11,15,p,AM,19.95,1,18.6822,30.0597,18.6822,0.000000,0.000000,0.000000,0.000000,0.000000,
14809,97,84,91,78,11,1,p,AM,14.27,1,16.1927,26.0541,16.1927,0.000000,0.000000,0.000000,0.000000,0.000000,
14810,97,85,91,79,11,9,p,AM,82.53,1,12.6984,20.4317,12.6984,0.000000,0.000000,0.000000,0.000000,0.000000,
14811,97,86,91,80,11,9,p,AM,42.39,1,12.0771,19.4321,12.0771,0.000000,0.000000,0.000000,0.000000,0.000000,
14812,97,87,91,81,11,9,p,AM,59.79,1,15.0077,24.1474,15.0077,0.000000,0.000000,0.000000,0.000000,0.000000,
14813,97,88,91,82,11,9,p,AM,113.38,1,9.5659,15.3915,9.5659,0.000000,0.000000,0.000000,0.000000,0.000000,
14814,97,89,91,83,11,10,p,AM,28.92,1,12.4964,20.1067,12.4964,0.000000,0.000000,0.000000,0.000000,0.000000,
14815,97,90,91,84,11,9,p,AM,24.91,1,11.0429,17.7680,11.0429,0.000000,0.000000,0.000000,0.000000,0.000000,
14816,97,91,91,85,11,9,p,AM,334.74,1,6.6378,10.6803,6.6379,0.000000,0.000000,0.000000,0.000000,0.000000,
14817,97,92,91,86,11,17,p,AM,10.60,1,16.3184,26.2564,16.3184,0.000000,0.000000,0.000000,0.000000,0.000000,
14818,97,93,91,87,11,10,p,AM,181.97,1,7.9094,12.7263,7.9094,0.000000,0.000000,0.000000,0.000000,0.000000,
14819,97,94,91,88,11,10,p,AM,10.47,1,10.8400,17.4415,10.8400,0.000000,0.000000,0.000000,0.000000,0.000000,
14820,97,95,91,89,11,10,p,AM,59.94,1,10.5537,16.9810,10.5537,0.000000,0.000000,0.000000,0.000000,0.000000,
14821,97,96,91,90,11,10,p,AM,7.12,1,13.4207,21.5940,13.4207,0.000000,0.000000,0.000000,0.000000,0.000000,
14822,97,98,91,92,11,11,p,AM,525.69,1,4.6336,7.4554,4.6336,0.000000,0.000000,0.000000,0.000000,0.000000,
14823,97,99,91,93,11,11,p,AM,161.64,1,7.1932,11.5738,7.1932,0.000000,0.000000,0.000000,0.000000,0.000000,
14824,97,100,91,94,11,11,p,AM,149.27,1,7.6232,12.2657,7.6232,0.000000,0.000000,0.000000,0.000000,0.000000,
14825,97,101,91,95,11,11,p,AM,83.68,1,7.5921,12.2158,7.5921,0.000000,0.000000,0.000000,0.000000,0.000000,
14826,97,102,91,96,11,12,p,AM,33.30,1,13.5434,21.7913,13.5434,0.000000,0.000000,0.000000,0.000000,0.000000,
14827,97,103,91,97,11,12,p,AM,20.14,1,16.4732,26.5053,16.4732,0.000000,0.000000,0.000000,0.000000,0.000000,
14828,97,104,91,98,11,12,p,AM,16.34,1,16.4771,26.5116,16.4771,0.000000,0.000000,0.000000,0.000000,0.000000,
14829,97,106,91,99,11,11,p,AM,71.85,1,9.5753,15.4067,9.5753,0.000000,0.000000,0.000000,0.000000,0.000000,
14830,97,107,91,100,11,11,p,AM,54.04,1,10.5537,16.9810,10.5537,0.000000,0.000000,0.000000,0.000000,0.000000,
14831,97,108,91,101,11,11,p,AM,39.25,1,13.0256,20.9583,13.0256,0.000000,0.000000,0.000000,0.000000,0.000000,
14832,97,109,91,102,11,11,p,AM,30.40,1,13.6671,21.9904,13.6671,0.000000,0.000000,0.000000,0.000000,0.000000,
14833,97,110,91,103,11,13,p,AM,35.71,1,11.0551,17.7877,11.0551,0.000000,0.000000,0.000000,0.000000,0.000000,
14834,97,111,91,104,11,11,p,AM,91.52,1,11.9722,19.2633,11.9722,0.000000,0.000000,0.000000,0.000000,0.000000,
14835,97,112,91,105,11,13,p,AM,20.74,1,14.1057,22.6961,14.1057,0.000000,0.000000,0.000000,0.000000,0.000000,
14836,97,113,91,106,11,13,p,AM,46.92,1,19.2663,30.9994,19.2663,0.000000,0.000000,0.000000,0.000000,0.000000,
14837,97,114,91,107,11,13,p,AM,4.81,1,15.0538,24.2216,15.0538,0.000000,0.000000,0.000000,0.000000,0.000000,
14838,97,115,91,108,11,13,p,AM,13.26,1,18.0435,29.0319,18.0435,0.000000,0.000000,0.000000,0.000000,0.000000,
14839,97,116,91,109,11,14,p,AM,14.35,1,24.2578,39.0308,24.2578,0.000000,0.000000,0.000000,0.000000,0.000000,
14840,97,118,91,110,11,14,p,AM,13.14,1,27.3656,44.0313,27.3656,0.000000,0.000000,0.000000,0.000000,0.000000,
14841,97,121,91,111,11,14,p,AM,10.55,1,20.3284,32.7085,20.3284,0.000000,0.000000,0.000000,0.000000,0.000000,
14842,97,123,91,112,11,14,p,AM,10.61,1,23.2571,37.4206,23.2571,0.000000,0.000000,0.000000,0.000000,0.000000,
14843,97,125,91,113,11,5,p,AM,0.04,1,40.7407,65.5518,40.7407,0.000000,0.000000,0.000000,0.000000,0.000000,
14844,97,127,91,114,11,15,p,AM,0.06,1,38.8707,62.5430,38.8707,0.000000,0.000000,0.000000,0.000000,0.000000,
14845,97,129,91,115,11,5,p,AM,0.62,1,35.0034,56.3205,35.0034,0.000000,0.000000,0.000000,0.000000,0.000000,
14846,97,130,91,116,11,5,p,AM,1.12,1,37.7511,60.7415,37.7511,0.000000,0.000000,0.000000,0.000000,0.000000,
14847,97,131,91,117,11,5,p,AM,0.73,1,33.1302,53.3065,33.1302,0.000000,0.000000,0.000000,0.000000,0.000000,
14848,97,132,91,118,11,15,p,AM,1.36,1,36.0031,57.9289,36.0031,0.000000,0.000000,0.000000,0.000000,0.000000,
14849,97,133,91,119,11,5,p,AM,5.82,1,29.6537,47.7129,29.6537,0.000000,0.000000,0.000000,0.000000,0.000000,
14850,97,134,91,120,11,5,p,AM,1.64,1,31.8497,51.2462,31.8497,0.000000,0.000000,0.000000,0.000000,0.000000,
14851,97,135,91,121,11,7,p,AM,11.43,1,26.6031,42.8045,26.6031,0.000000,0.000000,0.000000,0.000000,0.000000,
14852,97,136,91,122,11,15,p,AM,4.87,1,30.1350,48.4871,30.1350,0.000000,0.000000,0.000000,0.000000,0.000000,
14853,97,137,91,123,11,16,p,AM,0.13,1,35.8829,57.7355,35.8829,0.000000,0.000000,0.000000,0.000000,0.000000,
14854,97,141,91,124,11,15,p,AM,2.11,1,30.0796,48.3981,30.0796,0.000000,0.000000,0.000000,0.000000,0.000000,
14855,97,142,91,125,11,15,p,AM,1.89,1,32.8883,52.9172,32.8883,0.000000,0.000000,0.000000,0.000000,0.000000,
14856,97,143,91,126,11,15,p,AM,1.62,1,27.3646,44.0296,27.3646,0.000000,0.000000,0.000000,0.000000,0.000000,
14857,97,144,91,127,11,16,p,AM,0.45,1,30.1766,48.5541,30.1766,0.000000,0.000000,0.000000,0.000000,0.000000,
14858,97,145,91,128,11,15,p,AM,10.59,1,25.3015,40.7101,25.3015,0.000000,0.000000,0.000000,0.000000,0.000000,
14859,97,146,91,129,11,15,p,AM,4.29,1,27.1404,43.6688,27.1404,0.000000,0.000000,0.000000,0.000000,0.000000,
14860,97,147,91,130,11,15,p,AM,43.23,1,21.2221,34.1464,21.2221,0.000000,0.000000,0.000000,0.000000,0.000000,
14861,97,148,91,131,11,15,p,AM,15.99,1,24.2117,38.9567,24.2117,0.000000,0.000000,0.000000,0.000000,0.000000,
14862,97,149,91,132,11,19,p,AM,2.05,1,30.9833,49.8522,30.9833,0.000000,0.000000,0.000000,0.000000,0.000000,
14863,97,153,91,133,11,16,p,AM,5.78,1,25.1248,40.4259,25.1248,0.000000,0.000000,0.000000,0.000000,0.000000,
14864,97,154,91,134,11,16,p,AM,5.68,1,27.9918,45.0389,27.9918,0.000000,0.000000,0.000000,0.000000,0.000000,
14865,97,155,91,135,11,16,p,AM,4.12,1,21.5888,34.7363,21.5888,0.000000,0.000000,0.000000,0.000000,0.000000,
14866,97,156,91,136,11,19,p,AM,1.86,1,24.4616,39.3587,24.4616,0.000000,0.000000,0.000000,0.000000,0.000000,
14867,97,157,91,137,11,15,p,AM,37.13,1,18.1721,29.2389,18.1721,0.000000,0.000000,0.000000,0.000000,0.000000,
14868,97,158,91,138,11,15,p,AM,11.29,1,21.0391,33.8519,21.0391,0.000000,0.000000,0.000000,0.000000,0.000000,
14869,97,159,91,139,11,17,p,AM,42.05,1,15.4244,24.8178,15.4244,0.000000,0.000000,0.000000,0.000000,0.000000,
14870,97,160,91,140,11,17,p,AM,12.62,1,18.3549,29.5331,18.3549,0.000000,0.000000,0.000000,0.000000,0.000000,
14871,97,161,91,141,11,17,p,AM,13.29,1,19.5606,31.4730,19.5606,0.000000,0.000000,0.000000,0.000000,0.000000,
14872,97,170,91,142,11,5,p,AM,2.02,1,48.4819,78.0074,48.4819,0.000000,0.000000,0.000000,0.000000,0.000000,
14873,97,190,91,143,11,19,p,AM,0.37,1,33.3091,53.5943,33.3091,0.000000,0.000000,0.000000,0.000000,0.000000,
14874,97,191,91,144,11,19,p,AM,1.24,1,39.6963,63.8714,39.6963,0.000000,0.000000,0.000000,0.000000,0.000000,
14875,97,210,91,145,11,18,p,AM,1.00,1,49.4897,79.6289,49.4897,0.000000,0.000000,0.000000,0.000000,0.000000,
14876,97,219,91,146,11,18,p,AM,0.01,1,48.4818,78.0072,48.4818,0.000000,0.000000,0.000000,0.000000,0.000000,
14877,97,220,91,147,11,18,p,AM,2.00,1,46.4178,74.6863,46.4178,0.000000,0.000000,0.000000,0.000000,0.000000,
14878,97,221,91,148,11,18,p,AM,0.01,1,43.3459,69.7436,43.3459,0.000000,0.000000,0.000000,0.000000,0.000000,
14879,97,229,91,149,11,18,p,AM,0.05,1,39.6965,63.8717,39.6965,0.000000,0.000000,0.000000,0.000000,0.000000,
14880,97,230,91,150,11,18,p,AM,0.02,1,42.7471,68.7801,42.7471,0.000000,0.000000,0.000000,0.000000,0.000000,
14881,97,231,91,151,11,18,p,AM,0.03,1,40.3952,64.9958,40.3951,0.000000,0.000000,0.000000,0.000000,0.000000,
14882,97,232,91,152,11,18,p,AM,0.06,1,36.9273,59.4160,36.9273,0.000000,0.000000,0.000000,0.000000,0.000000,
14883,97,233,91,153,11,18,p,AM,0.10,1,39.8610,64.1363,39.8610,0.000000,0.000000,0.000000,0.000000,0.000000,
14884,97,267,91,154,11,16,p,AM,3.33,1,24.1574,38.8693,24.1574,0.000000,0.000000,0.000000,0.000000,0.000000,
14885,97,268,91,155,11,19,p,AM,1.02,1,27.2129,43.7856,27.2129,0.000000,0.000000,0.000000,0.000000,0.000000,
14886,97,269,91,156,11,19,p,AM,2.55,1,20.7109,33.3238,20.7108,0.000000,0.000000,0.000000,0.000000,0.000000,
14887,97,279,91,157,11,12,p,AM,2.06,1,19.3525,31.1382,19.3525,0.000000,0.000000,0.000000,0.000000,0.000000,
14888,97,287,91,158,11,20,p,AM,3.05,1,38.1276,61.3473,38.1276,0.000000,0.000000,0.000000,0.000000,0.000000,
14889,97,288,91,159,11,20,p,AM,1.89,1,40.8799,65.7757,40.8799,0.000000,0.000000,0.000000,0.000000,0.000000,
14890,97,356,91,160,11,13,p,AM,35.41,1,17.6679,28.4276,17.6679,0.000000,0.000000,0.000000,0.000000,0.000000,
14891,97,357,91,161,11,21,p,AM,5.03,1,24.0470,38.6916,24.0470,0.000000,0.000000,0.000000,0.000000,0.000000,
14892,97,377,91,162,11,22,p,AM,1.00,1,75.1268,120.8790,75.1268,0.000000,0.000000,0.000000,0.000000,0.000000,
14893,97,387,91,167,11,21,p,AM,34.00,1,37.4775,60.3012,37.4775,0.000000,0.000000,0.000000,0.000000,0.000000,
14894,98,1,92,0,11,6,p,AM,1.77,1,26.5739,42.7574,26.5739,0.000000,0.000000,0.000000,0.000000,0.000000,
14895,98,2,92,1,11,6,p,AM,1.92,1,23.8632,38.3958,23.8632,0.000000,0.000000,0.000000,0.000000,0.000000,
14896,98,3,92,2,11,2,p,AM,5.72,1,24.1918,38.9246,24.1918,0.000000,0.000000,0.000000,0.000000,0.000000,
14897,98,4,92,3,11,2,p,AM,10.20,1,21.1352,34.0065,21.1352,0.000000,0.000000,0.000000,0.000000,0.000000,
14898,98,5,92,4,11,2,p,AM,21.08,1,21.0814,33.9199,21.0814,0.000000,0.000000,0.000000,0.000000,0.000000,
14899,98,6,92,5,11,1,p,AM,4.08,1,24.4008,39.2609,24.4008,0.000000,0.000000,0.000000,0.000000,0.000000,
14900,98,7,92,6,11,1,p,AM,12.99,1,20.6776,33.2702,20.6776,0.000000,0.000000,0.000000,0.000000,0.000000,
14901,98,8,92,7,11,8,p,AM,5.11,1,21.4471,34.5084,21.4471,0.000000,0.000000,0.000000,0.000000,0.000000,
14902,98,9,92,8,11,8,p,AM,8.43,1,20.1520,32.4245,20.1520,0.000000,0.000000,0.000000,0.000000,0.000000,
14903,98,10,92,9,11,1,p,AM,19.18,1,17.0886,27.4955,17.0886,0.000000,0.000000,0.000000,0.000000,0.000000,
14904,98,11,92,10,11,1,p,AM,41.42,1,14.2190,22.8784,14.2190,0.000000,0.000000,0.000000,0.000000,0.000000,
14905,98,12,92,11,11,2,p,AM,22.12,1,16.5288,26.5948,16.5288,0.000000,0.000000,0.000000,0.000000,0.000000,
14906,98,13,92,12,11,2,p,AM,60.16,1,13.8507,22.2859,13.8507,0.000000,0.000000,0.000000,0.000000,0.000000,
14907,98,14,92,13,11,2,p,AM,22.75,1,18.5157,29.7918,18.5157,0.000000,0.000000,0.000000,0.000000,0.000000,
14908,98,15,92,14,11,2,p,AM,24.43,1,19.0132,30.5923,19.0132,0.000000,0.000000,0.000000,0.000000,0.000000,
14909,98,16,92,15,11,3,p,AM,82.01,1,16.4851,26.5245,16.4851,0.000000,0.000000,0.000000,0.000000,0.000000,
14910,98,17,92,16,11,3,p,AM,43.42,1,18.8609,30.3473,18.8609,0.000000,0.000000,0.000000,0.000000,0.000000,
14911,98,18,92,17,11,3,p,AM,48.44,1,16.4650,26.4921,16.4650,0.000000,0.000000,0.000000,0.000000,0.000000,
14912,98,19,92,18,11,3,p,AM,21.54,1,14.9808,24.1041,14.9808,0.000000,0.000000,0.000000,0.000000,0.000000,
14913,98,20,92,19,11,3,p,AM,72.72,1,13.4754,21.6819,13.4754,0.000000,0.000000,0.000000,0.000000,0.000000,
14914,98,21,92,20,11,3,p,AM,28.00,1,16.0243,25.7831,16.0243,0.000000,0.000000,0.000000,0.000000,0.000000,
14915,98,22,92,21,11,3,p,AM,20.30,1,14.2850,22.9845,14.2850,0.000000,0.000000,0.000000,0.000000,0.000000,
14916,98,23,92,22,11,3,p,AM,134.22,1,11.9418,19.2143,11.9418,0.000000,0.000000,0.000000,0.000000,0.000000,
14917,98,24,92,23,11,9,p,AM,110.39,1,10.2409,16.4776,10.2409,0.000000,0.000000,0.000000,0.000000,0.000000,
14918,98,25,92,24,11,9,p,AM,289.73,1,6.7378,10.8411,6.7378,0.000000,0.000000,0.000000,0.000000,0.000000,
14919,98,26,92,25,11,9,p,AM,412.51,1,8.2233,13.2313,8.2233,0.000000,0.000000,0.000000,0.000000,0.000000,
14920,98,27,92,26,11,4,p,AM,88.76,1,10.8576,17.4699,10.8576,0.000000,0.000000,0.000000,0.000000,0.000000,
14921,98,28,92,27,11,4,p,AM,63.63,1,15.1060,24.3055,15.1060,0.000000,0.000000,0.000000,0.000000,0.000000,
14922,98,29,92,28,11,4,p,AM,158.44,1,13.6574,21.9747,13.6574,0.000000,0.000000,0.000000,0.000000,0.000000,
14923,98,30,92,29,11,11,p,AM,207.55,1,7.8503,12.6311,7.8503,0.000000,0.000000,0.000000,0.000000,0.000000,
14924,98,31,92,30,11,4,p,AM,100.04,1,10.8838,17.5120,10.8838,0.000000,0.000000,0.000000,0.000000,0.000000,
14925,98,32,92,31,11,11,p,AM,220.78,1,6.9524,11.1864,6.9524,0.000000,0.000000,0.000000,0.000000,0.000000,
14926,98,33,92,32,11,11,p,AM,51.90,1,10.4714,16.8485,10.4714,0.000000,0.000000,0.000000,0.000000,0.000000,
14927,98,34,92,33,11,4,p,AM,87.05,1,10.0030,16.0948,10.0030,0.000000,0.000000,0.000000,0.000000,0.000000,
14928,98,35,92,34,11,4,p,AM,35.79,1,13.6574,21.9747,13.6574,0.000000,0.000000,0.000000,0.000000,0.000000,
14929,98,36,92,35,11,4,p,AM,50.69,1,13.8901,22.3492,13.8901,0.000000,0.000000,0.000000,0.000000,0.000000,
14930,98,37,92,36,11,7,p,AM,11.10,1,26.4585,42.5717,26.4585,0.000000,0.000000,0.000000,0.000000,0.000000,
14931,98,39,92,37,11,5,p,AM,0.32,1,40.4712,65.1181,40.4712,0.000000,0.000000,0.000000,0.000000,0.000000,
14932,98,41,92,38,11,5,p,AM,6.77,1,37.5432,60.4069,37.5432,0.000000,0.000000,0.000000,0.000000,0.000000,
14933,98,42,92,39,11,5,p,AM,0.14,1,38.2580,61.5571,38.2580,0.000000,0.000000,0.000000,0.000000,0.000000,
14934,98,43,92,40,11,18,p,AM,1.55,1,34.4112,55.3676,34.4112,0.000000,0.000000,0.000000,0.000000,0.000000,
14935,98,44,92,41,11,5,p,AM,0.50,1,37.5228,60.3742,37.5228,0.000000,0.000000,0.000000,0.000000,0.000000,
14936,98,45,92,42,11,18,p,AM,3.86,1,31.5442,50.7546,31.5442,0.000000,0.000000,0.000000,0.000000,0.000000,
14937,98,46,92,43,11,5,p,AM,2.69,1,34.4722,55.4658,34.4722,0.000000,0.000000,0.000000,0.000000,0.000000,
14938,98,47,92,44,11,18,p,AM,0.38,1,32.6964,52.6086,32.6964,0.000000,0.000000,0.000000,0.000000,0.000000,
14939,98,48,92,45,11,18,p,AM,3.81,1,32.4187,52.1617,32.4187,0.000000,0.000000,0.000000,0.000000,0.000000,
14940,98,49,92,46,11,6,p,AM,0.51,1,29.7678,47.8964,29.7678,0.000000,0.000000,0.000000,0.000000,0.000000,
14941,98,50,92,47,11,18,p,AM,3.36,1,29.4907,47.4505,29.4907,0.000000,0.000000,0.000000,0.000000,0.000000,
14942,98,51,92,48,11,6,p,AM,0.04,1,32.0260,51.5299,32.0260,0.000000,0.000000,0.000000,0.000000,0.000000,
14943,98,52,92,49,11,6,p,AM,0.19,1,29.8259,47.9899,29.8259,0.000000,0.000000,0.000000,0.000000,0.000000,
14944,98,53,92,50,11,6,p,AM,1.32,1,29.1274,46.8660,29.1274,0.000000,0.000000,0.000000,0.000000,0.000000,
14945,98,56,92,51,11,5,p,AM,0.12,1,43.0112,69.2050,43.0112,0.000000,0.000000,0.000000,0.000000,0.000000,
14946,98,58,92,52,11,5,p,AM,3.11,1,34.6510,55.7534,34.6510,0.000000,0.000000,0.000000,0.000000,0.000000,
14947,98,59,92,53,11,5,p,AM,0.24,1,37.5205,60.3706,37.5205,0.000000,0.000000,0.000000,0.000000,0.000000,
14948,98,60,92,54,11,5,p,AM,1.99,1,37.1520,59.7775,37.1520,0.000000,0.000000,0.000000,0.000000,0.000000,
14949,98,61,92,55,11,5,p,AM,1.41,1,40.0215,64.3947,40.0215,0.000000,0.000000,0.000000,0.000000,0.000000,
14950,98,62,92,56,11,5,p,AM,0.88,1,31.7103,51.0219,31.7103,0.000000,0.000000,0.000000,0.000000,0.000000,
14951,98,63,92,57,11,5,p,AM,1.12,1,34.3157,55.2140,34.3157,0.000000,0.000000,0.000000,0.000000,0.000000,
14952,98,64,92,58,11,5,p,AM,11.91,1,29.3701,47.2566,29.3701,0.000000,0.000000,0.000000,0.000000,0.000000,
14953,98,65,92,59,11,5,p,AM,1.59,1,32.1158,51.6744,32.1158,0.000000,0.000000,0.000000,0.000000,0.000000,
14954,98,66,92,60,11,7,p,AM,2.50,1,26.7894,43.1042,26.7894,0.000000,0.000000,0.000000,0.000000,0.000000,
14955,98,67,92,61,11,7,p,AM,1.61,1,28.8162,46.3653,28.8162,0.000000,0.000000,0.000000,0.000000,0.000000,
14956,98,68,92,62,11,7,p,AM,6.66,1,24.4714,39.3745,24.4714,0.000000,0.000000,0.000000,0.000000,0.000000,
14957,98,69,92,63,11,7,p,AM,8.09,1,26.4364,42.5362,26.4364,0.000000,0.000000,0.000000,0.000000,0.000000,
14958,98,70,92,64,11,6,p,AM,1.43,1,27.7110,44.5871,27.7110,0.000000,0.000000,0.000000,0.000000,0.000000,
14959,98,71,92,65,11,6,p,AM,1.71,1,26.2598,42.2520,26.2598,0.000000,0.000000,0.000000,0.000000,0.000000,
14960,98,72,92,66,11,6,p,AM,4.49,1,25.8161,41.5381,25.8161,0.000000,0.000000,0.000000,0.000000,0.000000,
